now,event,power,voltage,current,resistance,temperature,steady-state-count,filtered-delta
1400.002,timerEvent,49.83,10.88,4.58,2.376,187.2,0,0.048977
1402.502,timerEvent,49.83,10.88,4.58,2.376,187.2,0,0.044080
1405.002,timerEvent,49.83,10.88,4.58,2.376,187.2,0,0.039672
1407.502,timerEvent,49.83,10.88,4.58,2.376,187.2,0,0.035704
1410.002,timerEvent,49.83,10.88,4.58,2.376,187.2,0,0.032134
1412.502,timerEvent,49.83,10.88,4.58,2.376,187.2,0,0.028921
1415.003,timerEvent,49.78,10.87,4.58,2.373,186.8,0,0.026029
1417.502,timerEvent,49.83,10.88,4.58,2.376,187.2,0,-0.013603
1420.002,timerEvent,49.83,10.88,4.58,2.376,187.2,0,0.024786
1422.502,timerEvent,49.83,10.88,4.58,2.376,187.2,0,0.022307
1425.002,timerEvent,49.83,10.88,4.58,2.376,187.2,0,0.020077
1427.502,timerEvent,49.78,10.87,4.58,2.373,186.8,0,0.018069
1430.002,timerEvent,49.83,10.88,4.58,2.376,187.2,0,-0.020766
1432.502,timerEvent,49.83,10.88,4.58,2.376,187.2,0,0.018339
1435.002,timerEvent,49.78,10.87,4.58,2.373,186.8,0,0.016505
1437.502,timerEvent,49.83,10.88,4.58,2.376,187.2,0,-0.022174
1440.002,timerEvent,49.83,10.88,4.58,2.376,187.2,0,0.017072
1442.502,timerEvent,49.78,10.87,4.58,2.373,186.8,0,0.015365
1445.002,timerEvent,49.83,10.88,4.58,2.376,187.2,0,-0.023200
1447.502,timerEvent,49.78,10.87,4.58,2.373,186.8,0,0.016148
1450.002,timerEvent,49.83,10.88,4.58,2.376,187.2,0,-0.022495
1452.502,timerEvent,49.78,10.87,4.58,2.373,186.8,0,0.016783
1455.002,timerEvent,49.83,10.88,4.58,2.376,187.2,0,-0.021924
1457.502,timerEvent,49.78,10.87,4.58,2.373,186.8,0,0.017297
1460.002,timerEvent,49.78,10.87,4.58,2.373,186.8,0,-0.021461
1462.502,timerEvent,49.78,10.87,4.58,2.373,186.8,0,-0.019315
1465.002,timerEvent,49.83,10.88,4.58,2.376,187.2,0,-0.017384
1467.502,timerEvent,49.83,10.88,4.58,2.376,187.2,0,0.021383
1470.002,timerEvent,49.78,10.87,4.58,2.373,186.8,0,0.019245
1472.502,timerEvent,49.83,10.88,4.58,2.376,187.2,0,-0.019708
1475.002,timerEvent,49.83,10.88,4.58,2.376,187.2,0,0.019291
1477.502,timerEvent,49.83,10.88,4.58,2.376,187.2,0,0.017362
1480.002,timerEvent,49.83,10.88,4.58,2.376,187.2,0,0.015626
